cq,treatment,gene,sample,replicate,plate
24.25,CTRL,16s,1,1,1
24.07,AZT,16s,1,1,1
23.65,SFX,16s,1,1,1
24.8,ERY,16s,1,1,1
23.64,CTRL,16s,1,2,1
24.17,AZT,16s,1,2,1
23.35,SFX,16s,1,2,1
23.93,ERY,16s,1,2,1
23.57,CTRL,16s,1,3,1
24.66,AZT,16s,1,3,1
23.45,SFX,16s,1,3,1
23.5,ERY,16s,1,3,1
18.99,CTRL,actin,1,1,1
18.57,AZT,actin,1,1,1
18.71,SFX,actin,1,1,1
18.33,ERY,actin,1,1,1
18.73,CTRL,actin,1,2,1
18.51,AZT,actin,1,2,1
19.77,SFX,actin,1,2,1
18.44,ERY,actin,1,2,1
18.9,CTRL,actin,1,3,1
18.62,AZT,actin,1,3,1
18.91,SFX,actin,1,3,1
18.52,ERY,actin,1,3,1
25.3,ALL,16s,1,1,1
24.86,ALL,16s,1,2,1
25.04,ALL,16s,1,3,1
18.39,ALL,actin,1,1,1
18.46,ALL,actin,1,2,1
,ALL,actin,1,3,1
,NEG,16s,1,1,1
,NEG,16s,1,2,1
,NEG,16s,1,3,1
31.52,NEG,actin,1,1,1
32.12,NEG,actin,1,2,1
,NEG,actin,1,3,1
23.52,CTRL,16s,2,1,1
23.67,AZT,16s,2,1,1
22.87,SFX,16s,2,1,1
23.53,CTRL,16s,2,2,1
23.85,AZT,16s,2,2,1
23.17,SFX,16s,2,2,1
23.61,CTRL,16s,2,3,1
24.72,AZT,16s,2,3,1
22.49,SFX,16s,2,3,1
18.79,CTRL,actin,2,1,1
18.9,AZT,actin,2,1,1
18.27,SFX,actin,2,1,1
18.6,CTRL,actin,2,2,1
18.57,AZT,actin,2,2,1
18.28,SFX,actin,2,2,1
18.76,CTRL,actin,2,3,1
18.57,AZT,actin,2,3,1
18.71,SFX,actin,2,3,1
25.67,ERY,16s,2,1,1
25.68,ERY,16s,2,2,1
25.32,ERY,16s,2,3,1
18.77,ERY,actin,2,1,1
18.53,ERY,actin,2,2,1
18.38,ERY,actin,2,3,1
25.52,ALL,16s,2,1,1
25.61,ALL,16s,2,2,1
27.44,ALL,16s,2,3,1
19.45,ALL,actin,2,1,1
19.53,ALL,actin,2,2,1
19.61,ALL,actin,2,3,1
34.31,NEG,16s,2,1,2
,NEG,16s,2,2,2
,NEG,16s,2,3,2
35.45,NEG,actin,2,1,2
32.86,NEG,actin,2,2,2
31.51,NEG,actin,2,3,2
33.78,NEG,16s,2,1,3
33.04,NEG,16s,2,2,3
32.15,NEG,16s,2,3,3
30.58,NEG,actin,2,1,3
29.61,NEG,actin,2,2,3
34.42,NEG,actin,2,3,3
23.38,CTRL,16s,3,1,1
23.82,AZT,16s,3,1,1
22.07,SFX,16s,3,1,1
23.49,CTRL,16s,3,2,1
25.41,AZT,16s,3,2,1
21.92,SFX,16s,3,2,1
23.29,CTRL,16s,3,3,1
23.91,AZT,16s,3,3,1
22.11,SFX,16s,3,3,1
19.21,CTRL,actin,3,1,1
18.46,AZT,actin,3,1,1
18.48,SFX,actin,3,1,1
19.01,CTRL,actin,3,2,1
18.32,AZT,actin,3,2,1
18.74,SFX,actin,3,2,1
19.1,CTRL,actin,3,3,1
18.34,AZT,actin,3,3,1
19.01,SFX,actin,3,3,1
22.45,ERY,16s,3,1,2
23.56,ERY,16s,3,2,2
22.75,ERY,16s,3,3,2
23.25,ERY,actin,3,1,2
23.32,ERY,actin,3,2,2
22.83,ERY,actin,3,3,2
26.41,ALL,16s,3,1,2
23.07,ALL,16s,3,2,2
29.39,ALL,16s,3,3,2
20.07,ALL,actin,3,1,2
20.03,ALL,actin,3,2,2
20.17,ALL,actin,3,3,2
23.14,CTRL,16s,4,1,1
23.41,AZT,16s,4,1,1
22.11,CTRL,16s,4,2,1
23.61,AZT,16s,4,2,1
22.73,CTRL,16s,4,3,1
23.83,AZT,16s,4,3,1
19.79,CTRL,actin,4,1,1
,AZT,actin,4,1,1
19.74,CTRL,actin,4,2,1
17.83,AZT,actin,4,2,1
19.68,CTRL,actin,4,3,1
18.04,AZT,actin,4,3,1
22.52,SFX,16s,4,1,2
21.53,SFX,16s,4,2,2
22.12,SFX,16s,4,3,2
19.57,SFX,actin,4,1,2
19.7,SFX,actin,4,2,2
19.66,SFX,actin,4,3,2
23.56,ERY,16s,4,1,2
22.76,ERY,16s,4,2,2
21.57,ERY,16s,4,3,2
21.16,ERY,actin,4,1,2
21.58,ERY,actin,4,2,2
21.2,ERY,actin,4,3,2
26.8,ALL,16s,4,1,2
26.52,ALL,16s,4,2,2
26.62,ALL,16s,4,3,2
20.99,ALL,actin,4,1,2
20.92,ALL,actin,4,2,2
21,ALL,actin,4,3,2
23.07,CTRL,16s,5,1,2
22.79,AZT,16s,5,1,2
22.15,SFX,16s,5,1,2
22.42,CTRL,16s,5,2,2
22.34,AZT,16s,5,2,2
22.44,SFX,16s,5,2,2
22.08,CTRL,16s,5,3,2
23.01,AZT,16s,5,3,2
21.94,SFX,16s,5,3,2
21.29,CTRL,actin,5,1,2
19.54,AZT,actin,5,1,2
19.35,SFX,actin,5,1,2
21.35,CTRL,actin,5,2,2
20.51,AZT,actin,5,2,2
19.44,SFX,actin,5,2,2
21.39,CTRL,actin,5,3,2
20.64,AZT,actin,5,3,2
19.31,SFX,actin,5,3,2
23.56,ERY,16s,5,1,3
25.37,ALL,16s,5,1,3
23.22,ERY,16s,5,2,3
25.05,ALL,16s,5,2,3
23.6,ERY,16s,5,3,3
25.12,ALL,16s,5,3,3
18.78,ERY,actin,5,1,3
19.47,ALL,actin,5,1,3
19.26,ERY,actin,5,2,3
19.48,ALL,actin,5,2,3
18.7,ERY,actin,5,3,3
19.47,ALL,actin,5,3,3
22.89,CTRL,16s,6,1,2
22.63,AZT,16s,6,1,2
23.15,SFX,16s,6,1,2
22.34,CTRL,16s,6,2,2
22.39,AZT,16s,6,2,2
23.1,SFX,16s,6,2,2
23.12,CTRL,16s,6,3,2
23.95,AZT,16s,6,3,2
23.82,SFX,16s,6,3,2
21.15,CTRL,actin,6,1,2
21.21,AZT,actin,6,1,2
19.98,SFX,actin,6,1,2
20.64,CTRL,actin,6,2,2
21.61,AZT,actin,6,2,2
19.82,SFX,actin,6,2,2
20.76,CTRL,actin,6,3,2
22.29,AZT,actin,6,3,2
19.66,SFX,actin,6,3,2
21.67,ERY,16s,6,1,3
25.51,ALL,16s,6,1,3
22.48,ERY,16s,6,2,3
26.54,ALL,16s,6,2,3
22.91,ERY,16s,6,3,3
27.03,ALL,16s,6,3,3
18.37,ERY,actin,6,1,3
19.21,ALL,actin,6,1,3
18.74,ERY,actin,6,2,3
19.28,ALL,actin,6,2,3
18.39,ERY,actin,6,3,3
19.33,ALL,actin,6,3,3
20.65,CTRL,16s,7,1,2
22.67,AZT,16s,7,1,2
20.25,CTRL,16s,7,2,2
22.13,AZT,16s,7,2,2
20.13,CTRL,16s,7,3,2
22.94,AZT,16s,7,3,2
19.94,CTRL,actin,7,1,2
20.77,AZT,actin,7,1,2
19.67,CTRL,actin,7,2,2
20.72,AZT,actin,7,2,2
19.86,CTRL,actin,7,3,2
20.34,AZT,actin,7,3,2
23.88,SFX,16s,7,1,3
21.95,ERY,16s,7,1,3
25.28,ALL,16s,7,1,3
23.29,SFX,16s,7,2,3
22.63,ERY,16s,7,2,3
25.71,ALL,16s,7,2,3
23.51,SFX,16s,7,3,3
22.07,ERY,16s,7,3,3
25.98,ALL,16s,7,3,3
19,SFX,actin,7,1,3
19.01,ERY,actin,7,1,3
21,ALL,actin,7,1,3
19.55,SFX,actin,7,2,3
19.14,ERY,actin,7,2,3
19.5,ALL,actin,7,2,3
18.82,SFX,actin,7,3,3
19.12,ERY,actin,7,3,3
19.83,ALL,actin,7,3,3
22.01,CTRL,16s,8,1,2
23.51,AZT,16s,8,1,2
22.39,CTRL,16s,8,2,2
23.25,AZT,16s,8,2,2
22.34,CTRL,16s,8,3,2
23.12,AZT,16s,8,3,2
21.27,CTRL,actin,8,1,2
20.26,AZT,actin,8,1,2
21.22,CTRL,actin,8,2,2
20.23,AZT,actin,8,2,2
20.89,CTRL,actin,8,3,2
20.36,AZT,actin,8,3,2
22.99,SFX,16s,8,1,3
22.74,ERY,16s,8,1,3
24.93,ALL,16s,8,1,3
23.38,SFX,16s,8,2,3
23.08,ERY,16s,8,2,3
25.66,ALL,16s,8,2,3
23.11,SFX,16s,8,3,3
22.47,ERY,16s,8,3,3
25.83,ALL,16s,8,3,3
19.55,SFX,actin,8,1,3
19.41,ERY,actin,8,1,3
19.45,ALL,actin,8,1,3
19.55,SFX,actin,8,2,3
19.72,ERY,actin,8,2,3
19.46,ALL,actin,8,2,3
19.42,SFX,actin,8,3,3
19.34,ERY,actin,8,3,3
19.51,ALL,actin,8,3,3