ind,ab_trt,temp_trt,repro_sum
1,NONE,19C,0
2,NONE,19C,41
3,NONE,19C,66
4,NONE,19C,54
5,NONE,19C,48
6,NONE,19C,59
7,NONE,19C,61
8,NONE,19C,58
9,NONE,19C,32
10,NONE,19C,61
11,NONE,19C,54
12,NONE,19C,50
13,NONE,19C,57
14,NONE,19C,60
15,NONE,19C,53
16,NONE,19C,59
17,NONE,19C,66
18,NONE,19C,60
19,NONE,19C,62
20,NONE,19C,45
21,NONE,19C,38
22,NONE,19C,65
23,NONE,19C,57
24,NONE,19C,61
25,NONE,19C,42
26,NONE,19C,69
27,NONE,19C,49
28,NONE,19C,35
29,NONE,19C,54
30,NONE,19C,0
31,NONE,19C,52
32,NONE,19C,39
33,NONE,19C,54
34,NONE,19C,46
35,NONE,19C,51
36,NONE,19C,44
37,NONE,19C,0
38,NONE,19C,58
39,NONE,19C,52
40,NONE,19C,47
41,NONE,19C,50
42,NONE,19C,38
43,NONE,19C,61
44,NONE,19C,63
45,NONE,19C,55
46,NONE,19C,52
47,NONE,19C,21
48,NONE,19C,49
1,AZT,19C,68
2,AZT,19C,43
3,AZT,19C,32
4,AZT,19C,0
5,AZT,19C,46
6,AZT,19C,46
7,AZT,19C,12
8,AZT,19C,40
9,AZT,19C,8
10,AZT,19C,32
11,AZT,19C,47
12,AZT,19C,45
13,AZT,19C,38
14,AZT,19C,34
15,AZT,19C,37
16,AZT,19C,19
17,AZT,19C,49
18,AZT,19C,23
19,AZT,19C,33
20,AZT,19C,46
21,AZT,19C,48
22,AZT,19C,30
23,AZT,19C,53
24,AZT,19C,12
25,AZT,19C,44
26,AZT,19C,33
27,AZT,19C,35
28,AZT,19C,31
29,AZT,19C,40
30,AZT,19C,42
31,AZT,19C,6
32,AZT,19C,34
33,AZT,19C,45
34,AZT,19C,0
35,AZT,19C,38
36,AZT,19C,0
37,AZT,19C,26
38,AZT,19C,34
39,AZT,19C,46
40,AZT,19C,38
41,AZT,19C,27
42,AZT,19C,44
43,AZT,19C,48
44,AZT,19C,42
45,AZT,19C,30
46,AZT,19C,39
47,AZT,19C,52
48,AZT,19C,44
1,ERY,19C,51
2,ERY,19C,45
3,ERY,19C,48
4,ERY,19C,58
5,ERY,19C,42
6,ERY,19C,18
7,ERY,19C,56
8,ERY,19C,59
9,ERY,19C,45
10,ERY,19C,62
11,ERY,19C,49
12,ERY,19C,56
13,ERY,19C,51
14,ERY,19C,68
15,ERY,19C,28
16,ERY,19C,57
17,ERY,19C,46
18,ERY,19C,54
19,ERY,19C,45
20,ERY,19C,39
21,ERY,19C,43
22,ERY,19C,62
23,ERY,19C,49
24,ERY,19C,57
25,ERY,19C,39
26,ERY,19C,43
27,ERY,19C,35
28,ERY,19C,45
29,ERY,19C,49
30,ERY,19C,53
31,ERY,19C,34
32,ERY,19C,43
33,ERY,19C,50
34,ERY,19C,37
35,ERY,19C,41
36,ERY,19C,60
37,ERY,19C,40
38,ERY,19C,31
39,ERY,19C,35
40,ERY,19C,59
41,ERY,19C,51
42,ERY,19C,30
43,ERY,19C,41
44,ERY,19C,65
45,ERY,19C,57
46,ERY,19C,57
47,ERY,19C,49
48,ERY,19C,51
1,SFX,19C,60
2,SFX,19C,44
3,SFX,19C,38
4,SFX,19C,67
5,SFX,19C,53
6,SFX,19C,0
7,SFX,19C,15
8,SFX,19C,43
9,SFX,19C,27
10,SFX,19C,49
11,SFX,19C,40
12,SFX,19C,36
13,SFX,19C,50
14,SFX,19C,23
15,SFX,19C,33
16,SFX,19C,56
17,SFX,19C,52
18,SFX,19C,42
19,SFX,19C,49
20,SFX,19C,47
21,SFX,19C,50
22,SFX,19C,20
23,SFX,19C,39
24,SFX,19C,11
25,SFX,19C,16
26,SFX,19C,45
27,SFX,19C,36
28,SFX,19C,20
29,SFX,19C,45
30,SFX,19C,33
31,SFX,19C,26
32,SFX,19C,29
33,SFX,19C,29
34,SFX,19C,30
35,SFX,19C,29
36,SFX,19C,41
37,SFX,19C,14
38,SFX,19C,53
39,SFX,19C,15
40,SFX,19C,0
41,SFX,19C,27
42,SFX,19C,49
43,SFX,19C,42
44,SFX,19C,14
45,SFX,19C,24
46,SFX,19C,30
47,SFX,19C,43
48,SFX,19C,0
1,ALL,19C,40
2,ALL,19C,41
3,ALL,19C,38
4,ALL,19C,36
5,ALL,19C,18
6,ALL,19C,39
7,ALL,19C,40
8,ALL,19C,26
9,ALL,19C,25
10,ALL,19C,25
11,ALL,19C,20
12,ALL,19C,30
13,ALL,19C,0
14,ALL,19C,32
15,ALL,19C,35
16,ALL,19C,26
17,ALL,19C,0
18,ALL,19C,35
19,ALL,19C,37
20,ALL,19C,25
21,ALL,19C,45
22,ALL,19C,0
23,ALL,19C,25
24,ALL,19C,41
25,ALL,19C,44
26,ALL,19C,46
27,ALL,19C,42
28,ALL,19C,39
29,ALL,19C,30
30,ALL,19C,32
31,ALL,19C,0
32,ALL,19C,34
33,ALL,19C,29
34,ALL,19C,35
35,ALL,19C,23
36,ALL,19C,33
37,ALL,19C,9
38,ALL,19C,23
39,ALL,19C,0
40,ALL,19C,28
41,ALL,19C,30
42,ALL,19C,28
43,ALL,19C,34
44,ALL,19C,32
45,ALL,19C,32
46,ALL,19C,0
47,ALL,19C,29
48,ALL,19C,36
1,NONE,11C,0
2,NONE,11C,0
3,NONE,11C,0
4,NONE,11C,0
5,NONE,11C,0
6,NONE,11C,0
7,NONE,11C,0
8,NONE,11C,0
9,NONE,11C,0
10,NONE,11C,0
11,NONE,11C,0
12,NONE,11C,0
13,NONE,11C,0
14,NONE,11C,0
15,NONE,11C,0
16,NONE,11C,0
17,NONE,11C,0
18,NONE,11C,0
19,NONE,11C,0
20,NONE,11C,0
21,NONE,11C,0
22,NONE,11C,0
23,NONE,11C,0
24,NONE,11C,0
25,NONE,11C,0
26,NONE,11C,0
27,NONE,11C,0
28,NONE,11C,0
29,NONE,11C,0
30,NONE,11C,0
31,NONE,11C,0
32,NONE,11C,0
33,NONE,11C,0
34,NONE,11C,0
35,NONE,11C,0
36,NONE,11C,0
37,NONE,11C,0
38,NONE,11C,0
39,NONE,11C,0
40,NONE,11C,0
41,NONE,11C,0
42,NONE,11C,0
43,NONE,11C,0
44,NONE,11C,0
45,NONE,11C,0
46,NONE,11C,0
47,NONE,11C,0
48,NONE,11C,0
1,AZT,11C,0
2,AZT,11C,0
3,AZT,11C,0
4,AZT,11C,0
5,AZT,11C,0
6,AZT,11C,0
7,AZT,11C,0
8,AZT,11C,0
9,AZT,11C,0
10,AZT,11C,0
11,AZT,11C,0
12,AZT,11C,0
13,AZT,11C,0
14,AZT,11C,0
15,AZT,11C,0
16,AZT,11C,0
17,AZT,11C,0
18,AZT,11C,0
19,AZT,11C,0
20,AZT,11C,0
21,AZT,11C,0
22,AZT,11C,0
23,AZT,11C,0
24,AZT,11C,0
25,AZT,11C,0
26,AZT,11C,0
27,AZT,11C,13
28,AZT,11C,0
29,AZT,11C,0
30,AZT,11C,0
31,AZT,11C,0
32,AZT,11C,0
33,AZT,11C,0
34,AZT,11C,0
35,AZT,11C,0
36,AZT,11C,0
37,AZT,11C,0
38,AZT,11C,0
39,AZT,11C,0
40,AZT,11C,0
41,AZT,11C,0
42,AZT,11C,0
43,AZT,11C,0
44,AZT,11C,0
45,AZT,11C,0
46,AZT,11C,0
47,AZT,11C,0
48,AZT,11C,0
1,ERY,11C,0
2,ERY,11C,0
3,ERY,11C,0
4,ERY,11C,0
5,ERY,11C,0
6,ERY,11C,0
7,ERY,11C,0
8,ERY,11C,0
9,ERY,11C,0
10,ERY,11C,0
11,ERY,11C,0
12,ERY,11C,0
13,ERY,11C,0
14,ERY,11C,0
15,ERY,11C,0
16,ERY,11C,0
17,ERY,11C,0
18,ERY,11C,0
19,ERY,11C,0
20,ERY,11C,0
21,ERY,11C,0
22,ERY,11C,0
23,ERY,11C,0
24,ERY,11C,0
25,ERY,11C,0
26,ERY,11C,0
27,ERY,11C,0
28,ERY,11C,0
29,ERY,11C,0
30,ERY,11C,0
31,ERY,11C,0
32,ERY,11C,0
33,ERY,11C,0
34,ERY,11C,0
35,ERY,11C,0
36,ERY,11C,0
37,ERY,11C,0
38,ERY,11C,0
39,ERY,11C,0
40,ERY,11C,0
41,ERY,11C,0
42,ERY,11C,0
43,ERY,11C,0
44,ERY,11C,0
45,ERY,11C,0
46,ERY,11C,0
47,ERY,11C,0
48,ERY,11C,0
1,SFX,11C,0
2,SFX,11C,0
3,SFX,11C,0
4,SFX,11C,0
5,SFX,11C,0
6,SFX,11C,0
7,SFX,11C,0
8,SFX,11C,0
9,SFX,11C,0
10,SFX,11C,0
11,SFX,11C,0
12,SFX,11C,0
13,SFX,11C,0
14,SFX,11C,0
15,SFX,11C,0
16,SFX,11C,0
17,SFX,11C,0
18,SFX,11C,0
19,SFX,11C,0
20,SFX,11C,0
21,SFX,11C,0
22,SFX,11C,0
23,SFX,11C,0
24,SFX,11C,0
25,SFX,11C,0
26,SFX,11C,0
27,SFX,11C,0
28,SFX,11C,0
29,SFX,11C,0
30,SFX,11C,0
31,SFX,11C,0
32,SFX,11C,0
33,SFX,11C,0
34,SFX,11C,0
35,SFX,11C,0
36,SFX,11C,0
37,SFX,11C,0
38,SFX,11C,0
39,SFX,11C,0
40,SFX,11C,0
41,SFX,11C,0
42,SFX,11C,0
43,SFX,11C,0
44,SFX,11C,0
45,SFX,11C,0
46,SFX,11C,0
47,SFX,11C,0
48,SFX,11C,0
1,ALL,11C,0
2,ALL,11C,0
3,ALL,11C,0
4,ALL,11C,0
5,ALL,11C,0
6,ALL,11C,0
7,ALL,11C,0
8,ALL,11C,0
9,ALL,11C,0
10,ALL,11C,0
11,ALL,11C,0
12,ALL,11C,0
13,ALL,11C,0
14,ALL,11C,0
15,ALL,11C,0
16,ALL,11C,0
17,ALL,11C,0
18,ALL,11C,0
19,ALL,11C,0
20,ALL,11C,0
21,ALL,11C,0
22,ALL,11C,0
23,ALL,11C,0
24,ALL,11C,0
25,ALL,11C,0
26,ALL,11C,0
27,ALL,11C,0
28,ALL,11C,0
29,ALL,11C,0
30,ALL,11C,0
31,ALL,11C,0
32,ALL,11C,0
33,ALL,11C,0
34,ALL,11C,0
35,ALL,11C,0
36,ALL,11C,0
37,ALL,11C,0
38,ALL,11C,0
39,ALL,11C,0
40,ALL,11C,0
41,ALL,11C,0
42,ALL,11C,0
43,ALL,11C,0
44,ALL,11C,0
45,ALL,11C,0
46,ALL,11C,0
47,ALL,11C,0
48,ALL,11C,0