ab_trt,temp_trt,day,indalive,propalive,,
NONE,19C,1,48,1,,
NONE,19C,2,48,1,,
NONE,19C,3,48,1,,
NONE,19C,4,48,1,,
NONE,19C,5,48,1,,
NONE,19C,6,48,1,,
NONE,19C,7,48,1,,
NONE,19C,8,48,1,,
NONE,19C,9,47,0.979166667,,
NONE,19C,10,47,0.979166667,,
NONE,19C,11,46,0.958333333,,
NONE,19C,12,46,0.958333333,,
NONE,19C,13,46,0.958333333,,
NONE,19C,14,46,0.958333333,,
NONE,19C,15,46,0.958333333,,
NONE,19C,16,46,0.958333333,,
NONE,19C,17,45,0.9375,,
NONE,19C,18,45,0.9375,,
NONE,19C,19,45,0.9375,,
NONE,19C,20,45,0.9375,,
NONE,19C,21,45,0.9375,,
AZT,19C,1,48,1,,
AZT,19C,2,48,1,,
AZT,19C,3,48,1,,
AZT,19C,4,48,1,,
AZT,19C,5,48,1,,
AZT,19C,6,48,1,,
AZT,19C,7,48,1,,
AZT,19C,8,48,1,,
AZT,19C,9,47,0.979166667,,
AZT,19C,10,47,0.979166667,,
AZT,19C,11,44,0.916666667,,
AZT,19C,12,44,0.916666667,,
AZT,19C,13,44,0.916666667,,
AZT,19C,14,44,0.916666667,,
AZT,19C,15,44,0.916666667,,
AZT,19C,16,44,0.916666667,,
AZT,19C,17,43,0.895833333,,
AZT,19C,18,43,0.895833333,,
AZT,19C,19,43,0.895833333,,
AZT,19C,20,43,0.895833333,,
AZT,19C,21,43,0.895833333,,
ERY,19C,1,48,1,,
ERY,19C,2,48,1,,
ERY,19C,3,48,1,,
ERY,19C,4,48,1,,
ERY,19C,5,48,1,,
ERY,19C,6,48,1,,
ERY,19C,7,48,1,,
ERY,19C,8,48,1,,
ERY,19C,9,48,1,,
ERY,19C,10,48,1,,
ERY,19C,11,48,1,,
ERY,19C,12,48,1,,
ERY,19C,13,48,1,,
ERY,19C,14,48,1,,
ERY,19C,15,48,1,,
ERY,19C,16,48,1,,
ERY,19C,17,47,0.979166667,,
ERY,19C,18,47,0.979166667,,
ERY,19C,19,47,0.979166667,,
ERY,19C,20,47,0.979166667,,
ERY,19C,21,47,0.979166667,,
SFX,19C,1,48,1,,
SFX,19C,2,48,1,,
SFX,19C,3,48,1,,
SFX,19C,4,48,1,,
SFX,19C,5,48,1,,
SFX,19C,6,48,1,,
SFX,19C,7,48,1,,
SFX,19C,8,47,0.979166667,,
SFX,19C,9,46,0.958333333,,
SFX,19C,10,46,0.958333333,,
SFX,19C,11,44,0.916666667,,
SFX,19C,12,43,0.895833333,,
SFX,19C,13,43,0.895833333,,
SFX,19C,14,43,0.895833333,,
SFX,19C,15,42,0.875,,
SFX,19C,16,42,0.875,,
SFX,19C,17,40,0.833333333,,
SFX,19C,18,40,0.833333333,,
SFX,19C,19,40,0.833333333,,
SFX,19C,20,40,0.833333333,,
SFX,19C,21,40,0.833333333,,
ALL,19C,1,48,1,,
ALL,19C,2,48,1,,
ALL,19C,3,48,1,,
ALL,19C,4,48,1,,
ALL,19C,5,47,0.979166667,,
ALL,19C,6,47,0.979166667,,
ALL,19C,7,47,0.979166667,,
ALL,19C,8,47,0.979166667,,
ALL,19C,9,46,0.958333333,,
ALL,19C,10,46,0.958333333,,
ALL,19C,11,45,0.9375,,
ALL,19C,12,45,0.9375,,
ALL,19C,13,45,0.9375,,
ALL,19C,14,45,0.9375,,
ALL,19C,15,45,0.9375,,
ALL,19C,16,45,0.9375,,
ALL,19C,17,45,0.9375,,
ALL,19C,18,45,0.9375,,
ALL,19C,19,45,0.9375,,
ALL,19C,20,45,0.9375,,
ALL,19C,21,45,0.9375,,
NONE,11C,1,48,1,,
NONE,11C,2,48,1,,
NONE,11C,3,48,1,,
NONE,11C,4,48,1,,
NONE,11C,5,48,1,,
NONE,11C,6,48,1,,
NONE,11C,7,48,1,,
NONE,11C,8,48,1,,
NONE,11C,9,47,0.979166667,,
NONE,11C,10,47,0.979166667,,
NONE,11C,11,47,0.979166667,,
NONE,11C,12,47,0.979166667,,
NONE,11C,13,47,0.979166667,,
NONE,11C,14,47,0.979166667,,
NONE,11C,15,47,0.979166667,,
NONE,11C,16,47,0.979166667,,
NONE,11C,17,46,0.958333333,,
NONE,11C,18,46,0.958333333,,
NONE,11C,19,45,0.9375,,
NONE,11C,20,45,0.9375,,
NONE,11C,21,45,0.9375,,
AZT,11C,1,48,1,,
AZT,11C,2,48,1,,
AZT,11C,3,48,1,,
AZT,11C,4,48,1,,
AZT,11C,5,48,1,,
AZT,11C,6,48,1,,
AZT,11C,7,48,1,,
AZT,11C,8,48,1,,
AZT,11C,9,48,1,,
AZT,11C,10,48,1,,
AZT,11C,11,48,1,,
AZT,11C,12,48,1,,
AZT,11C,13,48,1,,
AZT,11C,14,48,1,,
AZT,11C,15,48,1,,
AZT,11C,16,48,1,,
AZT,11C,17,48,1,,
AZT,11C,18,48,1,,
AZT,11C,19,48,1,,
AZT,11C,20,48,1,,
AZT,11C,21,48,1,,
ERY,11C,1,48,1,,
ERY,11C,2,48,1,,
ERY,11C,3,48,1,,
ERY,11C,4,48,1,,
ERY,11C,5,47,0.979166667,,
ERY,11C,6,47,0.979166667,,
ERY,11C,7,47,0.979166667,,
ERY,11C,8,46,0.958333333,,
ERY,11C,9,46,0.958333333,,
ERY,11C,10,46,0.958333333,,
ERY,11C,11,46,0.958333333,,
ERY,11C,12,46,0.958333333,,
ERY,11C,13,46,0.958333333,,
ERY,11C,14,46,0.958333333,,
ERY,11C,15,46,0.958333333,,
ERY,11C,16,46,0.958333333,,
ERY,11C,17,46,0.958333333,,
ERY,11C,18,46,0.958333333,,
ERY,11C,19,46,0.958333333,,
ERY,11C,20,46,0.958333333,,
ERY,11C,21,46,0.958333333,,
SFX,11C,1,48,1,,
SFX,11C,2,48,1,,
SFX,11C,3,48,1,,
SFX,11C,4,48,1,,
SFX,11C,5,48,1,,
SFX,11C,6,48,1,,
SFX,11C,7,48,1,,
SFX,11C,8,48,1,,
SFX,11C,9,48,1,,
SFX,11C,10,48,1,,
SFX,11C,11,48,1,,
SFX,11C,12,48,1,,
SFX,11C,13,48,1,,
SFX,11C,14,48,1,,
SFX,11C,15,48,1,,
SFX,11C,16,48,1,,
SFX,11C,17,48,1,,
SFX,11C,18,48,1,,
SFX,11C,19,48,1,,
SFX,11C,20,48,1,,
SFX,11C,21,48,1,,
ALL,11C,1,48,1,,
ALL,11C,2,48,1,,
ALL,11C,3,48,1,,
ALL,11C,4,48,1,,
ALL,11C,5,48,1,,
ALL,11C,6,48,1,,
ALL,11C,7,48,1,,
ALL,11C,8,48,1,,
ALL,11C,9,47,0.979166667,,
ALL,11C,10,47,0.979166667,,
ALL,11C,11,47,0.979166667,,
ALL,11C,12,47,0.979166667,,
ALL,11C,13,47,0.979166667,,
ALL,11C,14,47,0.979166667,,
ALL,11C,15,47,0.979166667,,
ALL,11C,16,47,0.979166667,,
ALL,11C,17,47,0.979166667,,
ALL,11C,18,47,0.979166667,,
ALL,11C,19,46,0.958333333,,
ALL,11C,20,46,0.958333333,,
ALL,11C,21,46,0.958333333,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
14,,,,,4,Ery (Low)
35,,,,,7,Ery (Low)